Name	Category	ID	Subname	Description	Link	Image
The Peeper	I	155	Plop!	Spawns a familiar that floats slowly around the room on a zig-zag pattern similar to Boom Flies damaging enemies it passes through.	https://bindingofisaacrebirth.gamepedia.com/The_Peeper	../assets/images/items/155.png
Habit	I	156	Item Martyr	When Isaac is hit, 1 point of an item's charge is filled.	https://bindingofisaacrebirth.gamepedia.com/Habit	../assets/images/items/156.png
Bloody Lust	I	157	RAGE!	Increases damage as Isaac receives damage. Damage increase stays for the whole floor.	https://bindingofisaacrebirth.gamepedia.com/Bloody_Lust	../assets/images/items/157.png
Crystal Ball	I	158	I see my future	Reveals the map (except the Super Secret Room) and drops a random Tarot Card or soul heart.	https://bindingofisaacrebirth.gamepedia.com/Crystal_Ball	../assets/images/items/158.png
Spirit of the Night	I	159	Scary	Grants spectral tears and flight.	https://bindingofisaacrebirth.gamepedia.com/Spirit_of_the_Night	../assets/images/items/159.png
Crack the Sky	I	160	Holy white death	Summons multiple beams of light in random locations around the room, dealing a large amount of damage to any enemy that touches them.	https://bindingofisaacrebirth.gamepedia.com/Crack_the_Sky	../assets/images/items/160.png
Ankh	I	161	Eternal life?	Upon death, the player will respawn as ??? with 3 soul hearts.	https://bindingofisaacrebirth.gamepedia.com/Ankh	../assets/images/items/161.png
Celtic Cross	I	162	You feel blessed	Grants a chance to trigger the Book of Shadows effect upon taking damage, creating a shield that nullifies all types of damage for 7 seconds.	https://bindingofisaacrebirth.gamepedia.com/Celtic_Cross	../assets/images/items/162.png
Ghost Baby	I	163	Spectral buddy	Spawns a familiar that follows Isaac around and fires spectral tears.	https://bindingofisaacrebirth.gamepedia.com/Ghost_Baby	../assets/images/items/163.png
The Candle	I	164	Reusable flame	Throws out a blue flame that can pass over gaps (but not through rocks). The flame damages anything in its path.	https://bindingofisaacrebirth.gamepedia.com/The_Candle	../assets/images/items/164.png
Cat-O-Nine-Tails	I	165	Shot speed + damage up	Increases Shot Speed and damage.	https://bindingofisaacrebirth.gamepedia.com/Cat-O-Nine-Tails	../assets/images/items/165.png
D20	I	166	Reroll the basics	Rerolls all pickups in the current room.	https://bindingofisaacrebirth.gamepedia.com/D20	../assets/images/items/166.png
Harlequin Baby	I	167	Double shot buddy	Spawns a familiar that follows Isaac around and fires two tears at once in a V-pattern.	https://bindingofisaacrebirth.gamepedia.com/Harlequin_Baby	../assets/images/items/167.png
Epic Fetus	I	168	On-demand air strike	Isaac's tears are replaced with guided missiles, like those used by the Doctor's Remote.	https://bindingofisaacrebirth.gamepedia.com/Epic_Fetus	../assets/images/items/168.png
Polyphemus	I	169	Mega Tears	Makes Isaac shoot one huge tear. Also reduces Tears to minimum. Damage increased . If tear does more damage than an enemy's life, the tear continues to travel with the extra remaining damage.	https://bindingofisaacrebirth.gamepedia.com/Polyphemus	../assets/images/items/169.png
Daddy Longlegs	I	170	Daddy's love	Daddy Long Legs' shadow follows Isaac and stomps on enemies.	https://bindingofisaacrebirth.gamepedia.com/Daddy_Longlegs	../assets/images/items/170.png
Spider Butt	I	171	Mass enemy slowdown + damage	Damages all enemies in the room and slows them and their projectiles down.	https://bindingofisaacrebirth.gamepedia.com/Spider_Butt	../assets/images/items/171.png
Sacrificial Dagger	I	172	My fate protects me	Dagger orbits Isaac, dealing very high damage.	https://bindingofisaacrebirth.gamepedia.com/Sacrificial_Dagger	../assets/images/items/172.png
Mitre	I	173	You Feel Blessed	Grants a chance of converting any red hearts pickups into soul hearts instead.	https://bindingofisaacrebirth.gamepedia.com/Mitre	../assets/images/items/173.png
Rainbow Baby	I	174	Random buddy	Spawns a familiar that follows Isaac around and fires tears with random effects.	https://bindingofisaacrebirth.gamepedia.com/Rainbow_Baby	../assets/images/items/174.png
Dad's Key	I	175	Opens all doors...	Opens all doors in the current room when activated, including doors which require a key to open and entrances to secret rooms. Opens the big doors in the first room of both The Chest and the Dark Room.	https://bindingofisaacrebirth.gamepedia.com/Dad%27s_Key	../assets/images/items/175.png
Stem Cells	I	176	HP up	Adds one filled heart container and increases Shot Speed.	https://bindingofisaacrebirth.gamepedia.com/Stem_Cells	../assets/images/items/176.png
Portable Slot	I	177	Gamble 24/7	Upon activation, 1 coin will be consumed, and a random pickup may drop, similar to the slot machine.	https://bindingofisaacrebirth.gamepedia.com/Portable_Slot	../assets/images/items/177.png
Holy Water	I	178	Splash!	When Isaac receives damage, the bottle breaks and a puddle of blue creep forms, which damages non-flying enemies, similar to Lemon Mishap. The bottle is reformed upon entering a different room.	https://bindingofisaacrebirth.gamepedia.com/Holy_Water	../assets/images/items/178.png
Fate	I	179	Flight eternal	Grants flight and one eternal heart.	https://bindingofisaacrebirth.gamepedia.com/Fate	../assets/images/items/179.png
The Black Bean	I	180	Toot on touch	When taking damage, Isaac farts, causing poison damage to all enemies in range.	https://bindingofisaacrebirth.gamepedia.com/The_Black_Bean	../assets/images/items/180.png
White Pony	I	181	Flight + holy death	Passively grants flight and increased speed. Upon use, Isaac charges in the direction the pony is facing, becoming invulnerable during the charge and damaging enemies while also casting the effect of Crack the Sky.	https://bindingofisaacrebirth.gamepedia.com/White_Pony	../assets/images/items/181.png
Sacred Heart	I	182	Homing shots + DMG up	Increases damage and range while reducing shot speed and grants homing tears. Grants a Heart Container and replenishes all Red Hearts.	https://bindingofisaacrebirth.gamepedia.com/Sacred_Heart	../assets/images/items/182.png
Toothpicks	I	183	Tears + shot speed up	+0.7 tears, +16% shot speed.	https://bindingofisaacrebirth.gamepedia.com/Toothpicks	../assets/images/items/183.png
Holy Grail	I	184	Flight + HP up	Grants flight and one heart container.	https://bindingofisaacrebirth.gamepedia.com/Holy_Grail	../assets/images/items/184.png
Dead Dove	I	185	Flight + spectral tears	Grants spectral tears and flight.	https://bindingofisaacrebirth.gamepedia.com/Dead_Dove	../assets/images/items/185.png
Blood Rights	I	186	Mass enemy damage at a cost	Damages all enemies in the room, but deals a heart of damage to Isaac with each use.	https://bindingofisaacrebirth.gamepedia.com/Blood_Rights	../assets/images/items/186.png
Guppy's Hair Ball	I	187	Swing it	Loosely follows behind Isaac. Can be swung like a flail by rapidly spinning Isaac in a circle. Grows bigger by killing enemies.	https://bindingofisaacrebirth.gamepedia.com/Guppy%27s_Hair_Ball	../assets/images/items/187.png
Abel	I	188	Mirrored buddy	A familiar that mirrors the player's movements and shoots in the opposite direction.	https://bindingofisaacrebirth.gamepedia.com/Abel	../assets/images/items/188.png
SMB Super Fan	I	189	All stats up	Increases all stats.	https://bindingofisaacrebirth.gamepedia.com/SMB_Super_Fan	../assets/images/items/189.png
Pyro	I	190	99 bombs	Adds 99 bombs.	https://bindingofisaacrebirth.gamepedia.com/Pyro	../assets/images/items/190.png
3 Dollar Bill	I	191	Rainbow tears	Gives Isaac a random tear effect every room.	https://bindingofisaacrebirth.gamepedia.com/3_Dollar_Bill	../assets/images/items/191.png
Telepathy for Dummies	I	192	Temporary psychic shot	Upon activation, grants homing tears for the current room.	https://bindingofisaacrebirth.gamepedia.com/Telepathy_for_Dummies	../assets/images/items/192.png
MEAT!	I	193	DMG + HP up	Adds a heart container and increases damage.	https://bindingofisaacrebirth.gamepedia.com/MEAT!	../assets/images/items/193.png
Magic 8 Ball	I	194	Shot speed up	Increases Shot Speed, and drops a tarot card when picked up.	https://bindingofisaacrebirth.gamepedia.com/Magic_8_Ball	../assets/images/items/194.png
Mom's Coin Purse	I	195	What's all this...?	Spawns 4 random pills around Isaac.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Coin_Purse	../assets/images/items/195.png
Squeezy	I	196	Tears up	Increases tears by 0.4, and spawns 2 Soul Hearts pickups.	https://bindingofisaacrebirth.gamepedia.com/Squeezy	../assets/images/items/196.png
Jesus Juice	I	197	Damage + range up	Increases Damage and Range.	https://bindingofisaacrebirth.gamepedia.com/Jesus_Juice	../assets/images/items/197.png
Box	I	198	Stuff	Spawns 1 of each (non-collectible) item: 1 coin, 1 key, 1 bomb, 1 heart, 1 card, 1 pill, 1 trinket.	https://bindingofisaacrebirth.gamepedia.com/Box	../assets/images/items/198.png
Mom's Key	I	199	Less is now more +2 keys	Spawns 2 keys. Generates additional pickups from chests.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Key	../assets/images/items/199.png
Mom's Eyeshadow	I	200	Charm tears	Tears have a chance to charm enemies.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Eyeshadow	../assets/images/items/200.png
Iron Bar	I	201	Concussive tears	Increases damage by 0.3 and adds a chance to shoot concussive tears, causing enemies to walk around randomly.	https://bindingofisaacrebirth.gamepedia.com/Iron_Bar	../assets/images/items/201.png
Midas' Touch	I	202	Golden touch	Enemies that touch you are stunned and turn gold. Any enemy killed while in this state will drop a coin.	https://bindingofisaacrebirth.gamepedia.com/Midas%27_Touch	../assets/images/items/202.png
Humbling Bundle	I	203	1+1 free 4evar!	Gives one extra pickup (1+1 Free version) of Red Hearts, pennies, bombs, and keys. Does not work with blue, black, and half red hearts, nickels, and dimes.	https://bindingofisaacrebirth.gamepedia.com/Humbling_Bundle	../assets/images/items/203.png
Fanny Pack	I	204	It's filled with goodies!	Has a chance to drop a random pickup when Isaac takes damage.	https://bindingofisaacrebirth.gamepedia.com/Fanny_Pack	../assets/images/items/204.png
Sharp Plug	I	205	Charge with blood	Using an activated item while it's not charged will charge it and Sharp Plug does 2 full heart damage to Isaac.	https://bindingofisaacrebirth.gamepedia.com/Sharp_Plug	../assets/images/items/205.png
Guillotine	I	206	An out-of-body experience	Isaac's head is removed from his body and floats around him. Increases Damage by 1 and grants -1 Tear Delay.	https://bindingofisaacrebirth.gamepedia.com/Guillotine	../assets/images/items/206.png
Ball of Bandages	I	207	Gotta lick 'em all!	Orbiting familiar that deals damage to enemies. If collected while already having one, makes the familiar evolve. Only drops from Horsemen. Similar to Cube of Meat.	https://bindingofisaacrebirth.gamepedia.com/Ball_of_Bandages	../assets/images/items/207.png
Champion Belt	I	208	DMG + Challenge Up	Increases damage, but also increases the chance of champion enemies appearing.	https://bindingofisaacrebirth.gamepedia.com/Champion_Belt	../assets/images/items/208.png
Butt Bombs	I	209	Toxic blast +5 bombs	Gives +5 bombs and makes all bombs Butt Bombs that fill the room with gas, damaging and confusing all enemies.	https://bindingofisaacrebirth.gamepedia.com/Butt_Bombs	../assets/images/items/209.png
Gnawed Leaf	I	210	Unbreakable	After standing still and not shooting for a short time, Isaac turns invincible until he moves or shoots.	https://bindingofisaacrebirth.gamepedia.com/Gnawed_Leaf	../assets/images/items/210.png
Spider Baby	I	211	Spider revenge	When hit, spawns up to 2 blue spiders.	https://bindingofisaacrebirth.gamepedia.com/Spider_Baby	../assets/images/items/211.png
Guppy's Collar	I	212	Eternal Life?	Grants Isaac a permanent 50% chance to respawn with 1/2 of a red heart after death.	https://bindingofisaacrebirth.gamepedia.com/Guppy%27s_Collar	../assets/images/items/212.png
Lost Contact	I	213	Shielded tears	Every tear has a small shield which will allow it to block one enemy projectile.	https://bindingofisaacrebirth.gamepedia.com/Lost_Contact	../assets/images/items/213.png
Anemic	I	214	Toxic blood	+5 range. After Isaac is damaged, a trail of red creep will be left behind Isaac until he leaves the current room.	https://bindingofisaacrebirth.gamepedia.com/Anemic	../assets/images/items/214.png
Goat Head	I	215	He accepts your offering	A Devil Room / Angel Room Door will always spawn after every boss fight, excluding the first floor and floors after Utero II/Womb II.	https://bindingofisaacrebirth.gamepedia.com/Goat_Head	../assets/images/items/215.png
Ceremonial Robes	I	216	Sin up	Adds 3 black hearts and increases Damage by 1.	https://bindingofisaacrebirth.gamepedia.com/Ceremonial_Robes	../assets/images/items/216.png
Mom's Wig	I	217	You feel itchy...	Adds a chance to spawn blue spiders when firing tears. Restores 1 red heart.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Wig	../assets/images/items/217.png
Placenta	I	218	HP up + regen	Grants a full heart container, and a chance to regenerate a half-heart of health every minute of gameplay.	https://bindingofisaacrebirth.gamepedia.com/Placenta	../assets/images/items/218.png
Old Bandage	I	219	HP up	Adds one empty heart container. Whenever Isaac takes damage there's a chance that a Red Heart may drop.	https://bindingofisaacrebirth.gamepedia.com/Old_Bandage	../assets/images/items/219.png
Sad Bombs	I	220	Tear blast +5 bombs	+5 Bombs. Upon exploding, bombs shoot 8 tears off in every direction, similar to Tammy's Head. The tears are affected by any tear modifiers Isaac has on his own tears.	https://bindingofisaacrebirth.gamepedia.com/Sad_Bombs	../assets/images/items/220.png
Rubber Cement	I	221	Bouncing tears	Tears bounce off walls, enemies, and environmental objects.	https://bindingofisaacrebirth.gamepedia.com/Rubber_Cement	../assets/images/items/221.png
Anti-Gravity	I	222	Antigravity tears + tears up	-2 Tear Delay. Tears float in position until firing ceases, after which they will fly off in the direction they were shot in.	https://bindingofisaacrebirth.gamepedia.com/Anti-Gravity	../assets/images/items/222.png
Pyromaniac	I	223	It hurts so good +5 Bombs	Isaac heals 1 heart instead of taking damage from an explosive source. Adds 5 bombs.	https://bindingofisaacrebirth.gamepedia.com/Pyromaniac	../assets/images/items/223.png
Cricket's Body	I	224	Tears up + splash damage	Grants -1 Tear Delay and reduces Range. When tears hit an object or deplete their range, they spawn 4 smaller tears, whose Range and Damage scale with Isaac's.	https://bindingofisaacrebirth.gamepedia.com/Cricket%27s_Body	../assets/images/items/224.png
Gimpy	I	225	Sweet Suffering	Has a chance of spawning a soul heart or black heart when taking damage. Enemies have a chance to drop a Half Red Heart after being killed.	https://bindingofisaacrebirth.gamepedia.com/Gimpy	../assets/images/items/225.png
Black Lotus	I	226	HP up x3!	Grants the player one red heart container, one soul heart, and one black heart.	https://bindingofisaacrebirth.gamepedia.com/Black_Lotus	../assets/images/items/226.png
Piggy Bank	I	227	My life savings	Gives 3 pennies on pick-up. Every time Isaac is damaged, he will drop one additional penny.	https://bindingofisaacrebirth.gamepedia.com/Piggy_Bank	../assets/images/items/227.png
Mom's Perfume	I	228	Fear shot	Adds a chance to shoot fear tears and decreases tear delay by 1.	https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Perfume	../assets/images/items/228.png
Monstro's Lung	I	229	Charged attack	Increases damage and grants a charged shot that fires multiple tears in the same fashion as Monstro.	https://bindingofisaacrebirth.gamepedia.com/Monstro%27s_Lung	../assets/images/items/229.png
Abaddon	I	230	Evil + DMG up + fear shot	Increases damage and speed, removes all red heart containers, grants six black hearts, and adds a chance to shoot fear tears.	https://bindingofisaacrebirth.gamepedia.com/Abaddon	../assets/images/items/230.png
Ball of Tar	I	231	Sticky feet...	Adds a chance to shoot slowing tears and the character leaves a trail of slowing creep behind as he moves, impeding enemies' speed.	https://bindingofisaacrebirth.gamepedia.com/Ball_of_Tar	../assets/images/items/231.png
Stop Watch	I	232	Let's slow this down a bit	Automatically inflicts slow to all enemies in every room.	https://bindingofisaacrebirth.gamepedia.com/Stop_Watch	../assets/images/items/232.png
Tiny Planet	I	233	Orbiting tears + range up	Range up and makes shot tears revolve around Isaac until they drop.	https://bindingofisaacrebirth.gamepedia.com/Tiny_Planet	../assets/images/items/233.png
Infestation 2	I	234	Infestation shot	Spawns allied blue spiders from killed enemies.	https://bindingofisaacrebirth.gamepedia.com/Infestation_2	../assets/images/items/234.png
E Coli	I	236	Turdy touch	"Gives ""Turdy Touch"" Effect. Enemies that touch Isaac are changed into poop."	https://bindingofisaacrebirth.gamepedia.com/E_Coli	../assets/images/items/236.png
Death's Touch	I	237	Penetrative shot + damage up	Increases Damage by 1.5, reduces Tears by 0.3 and increases tear size. Grants piercing tears. Tears are replaced by Death's scythes, which is a cosmetic effect only.	https://bindingofisaacrebirth.gamepedia.com/Death%27s_Touch	../assets/images/items/237.png
Key Piece 1	I	238	???	Combined with Key Piece 2, unlocks the golden gate in the starting room of The Chest and Dark Room to fight Mega Satan.	https://bindingofisaacrebirth.gamepedia.com/Key_Piece_1	../assets/images/items/238.png
Key Piece 2	I	239	???	Combined with Key Piece 1, unlocks the golden gate in the starting room of The Chest and Dark Room to fight Mega Satan.	https://bindingofisaacrebirth.gamepedia.com/Key_Piece_2	../assets/images/items/239.png
Experimental Treatment	I	240	All stats up, then shuffled	Randomly increases and decreases some of the character's stats.	https://bindingofisaacrebirth.gamepedia.com/Experimental_Treatment	../assets/images/items/240.png
Contract From Below	I	241	Wealth... but at what cost?	Doubles the number of pickups and chests spawned after clearing a room or performing some other triggering action (such as using a blood donation machine), but reduces the chance for any pickups to spawn at all.	https://bindingofisaacrebirth.gamepedia.com/Contract_From_Below	../assets/images/items/241.png
Infamy	I	242	Damage Reduction	Chance to block projectiles coming from any direction.	https://bindingofisaacrebirth.gamepedia.com/Infamy	../assets/images/items/242.png
Trinity Shield	I	243	"""You feel guarded"""	Isaac gains a shield that protects him from enemy shots.	https://bindingofisaacrebirth.gamepedia.com/Trinity_Shield	../assets/images/items/243.png
Tech.5	I	244	It's still being tested...	Grants a unlimited range piercing laser with random rate of fire that does not replace tears. The laser might occasionally fire with the effect of a random item or trinket, such as Hook Worm, Spoon Bender or Tiny Planet.	https://bindingofisaacrebirth.gamepedia.com/Tech.5	../assets/images/items/244.png
20/20	I	245	Double shot	Grants double shot.	https://bindingofisaacrebirth.gamepedia.com/20/20	../assets/images/items/245.png
Blue Map	I	246	Secrets	Shows secret and super secret room locations on the map.	https://bindingofisaacrebirth.gamepedia.com/Blue_Map	../assets/images/items/246.png
BFFS!	I	247	Your Friends Rule!	Increases the size and damage of familiars.	https://bindingofisaacrebirth.gamepedia.com/BFFS!	../assets/images/items/247.png
Hive Mind	I	248	Giant spiders and flies	Increases the size of blue spiders and blue flies and doubles the amount of damage they deal.	https://bindingofisaacrebirth.gamepedia.com/Hive_Mind	../assets/images/items/248.png
There's Options	I	249	More options	There will be 2 items available to choose from after defeating a boss. Choosing 1 item causes the other to disappear.	https://bindingofisaacrebirth.gamepedia.com/There%27s_Options	../assets/images/items/249.png
Bogo Bombs	I	250	1+1 boom!	All standard bomb pickups become 1+1 bomb pickups.	https://bindingofisaacrebirth.gamepedia.com/Bogo_Bombs	../assets/images/items/250.png
Starter Deck	I	251	Extra card room	Isaac can hold 2 cards at once and all pills are replaced by cards.	https://bindingofisaacrebirth.gamepedia.com/Starter_Deck	../assets/images/items/251.png
Little Baggy	I	252	Extra pill room	Isaac can hold 2 pills at once and all cards are replaced by pills.	https://bindingofisaacrebirth.gamepedia.com/Little_Baggy	../assets/images/items/252.png
Magic Scab	I	253	HP + Luck up	Increases luck and HP by 1.	https://bindingofisaacrebirth.gamepedia.com/Magic_Scab	../assets/images/items/253.png
Blood Clot	I	254	DMG + range up	Increases damage by 1 and range by 5 for tears fired from the left eye.	https://bindingofisaacrebirth.gamepedia.com/Blood_Clot	../assets/images/items/254.png
Screw	I	255	Tears and shot speed up.	+0.5 tears up, +0.2 shot speed up.	https://bindingofisaacrebirth.gamepedia.com/Screw	../assets/images/items/255.png
Hot Bombs	I	256	Burning blast +5 bombs	Grants 5 bombs. Isaac's bombs leave behind fire that damages enemies upon contact.	https://bindingofisaacrebirth.gamepedia.com/Hot_Bombs	../assets/images/items/256.png
Fire Mind	I	257	Flaming tears	Grants flaming tears that deal burning damage over time. Tears have a chance to explode on impact with an enemy, which creates a fire at the location of the explosion.	https://bindingofisaacrebirth.gamepedia.com/Fire_Mind	../assets/images/items/257.png
Missing No.	I	258	Syntax error	Randomizes all passive items upon pickup and at the start of each succeeding floor.	https://bindingofisaacrebirth.gamepedia.com/Missing_No.	../assets/images/items/258.png
Dark Matter	I	259	Fear shot	Increases Damage by 1 and adds a chance to shoot fear tears.	https://bindingofisaacrebirth.gamepedia.com/Dark_Matter	../assets/images/items/259.png
Black Candle	I	260	Curse immunity + evil up	Prevents curses. Grants one black heart. Increases the chance for a Devil or angel room to appear.	https://bindingofisaacrebirth.gamepedia.com/Black_Candle	../assets/images/items/260.png
Proptosis	I	261	Short range mega tears	Tears start out massive with high damage, and then shrink down and become weaker over a short range.	https://bindingofisaacrebirth.gamepedia.com/Proptosis	../assets/images/items/261.png
Missing Page 2	I	262	Evil up. Your enemies will pay!	Gives 1 black heart. Upon taking damage that reduces Isaac's health to one heart or less, activates The Necronomicon effect, dealing 40 damage to all enemies in the room.	https://bindingofisaacrebirth.gamepedia.com/Missing_Page_2	../assets/images/items/262.png
Smart Fly	I	264	Revenge fly	After Isaac takes damage, this fly will deal continuous touch damage to whatever enemy caused the damage until it is dead. The fly will then systematically attack 1 enemy at a time until the room is cleared.	https://bindingofisaacrebirth.gamepedia.com/Smart_Fly	../assets/images/items/264.png
Dry Baby	I	265	Immortal Friend	Spawns a familiar that follows Isaac around and blocks enemy projectiles. Upon blocking a shot, it has a chance of triggering The Necronomicon effect.	https://bindingofisaacrebirth.gamepedia.com/Dry_Baby	../assets/images/items/265.png
Juicy Sack	I	266	Sticky babies	A familiar that follows behind Isaac. It drips a trail of creep, which slows enemies, and spawns 1-2 blue spiders after each room.	https://bindingofisaacrebirth.gamepedia.com/Juicy_Sack	../assets/images/items/266.png
Robo-Baby 2.0	I	267	We worked out all the kinks	Fires lasers at any enemy in its line of sight and moves based on the direction Isaac is firing tears.	https://bindingofisaacrebirth.gamepedia.com/Robo-Baby_2.0	../assets/images/items/267.png
Rotten Baby	I	268	Infested friend	A familiar that spawns blue flies.	https://bindingofisaacrebirth.gamepedia.com/Rotten_Baby	../assets/images/items/268.png
Headless Baby	I	269	Bloody Friend	Familiar that follows Isaac, leaving blood creep on the ground.	https://bindingofisaacrebirth.gamepedia.com/Headless_Baby	../assets/images/items/269.png
Leech	I	270	Blood sucker	Spawns a friendly familiar leech on the ground that hunts down enemies and heals you for half a heart each time it eats one.	https://bindingofisaacrebirth.gamepedia.com/Leech	../assets/images/items/270.png
Mystery Sack	I	271	?	Spawns a familiar that drops a heart, coin, bomb, or key every 5-6 rooms.	https://bindingofisaacrebirth.gamepedia.com/Mystery_Sack	../assets/images/items/271.png
BBF	I	272	Big Beautiful Fly	Spawns a familiar that flies around the room in a manner similar to the Boom Fly and explodes on contact with an enemy. Respawns after ten seconds.	https://bindingofisaacrebirth.gamepedia.com/BBF	../assets/images/items/272.png
Bob's Brain	I	273	Explosive thoughts	Spawns a familiar that charges forward when shooting tears and explodes upon contact with an enemy, damaging and poisoning them. The familiar respawns after a few seconds.	https://bindingofisaacrebirth.gamepedia.com/Bob%27s_Brain	../assets/images/items/273.png
Best Bud	I	274	Sworn protector	When hit, summons a white attack fly similar to Distant Admiration for the current room.	https://bindingofisaacrebirth.gamepedia.com/Best_Bud	../assets/images/items/274.png
Lil' Brimstone	I	275	Evil Friend	A Familiar that shoots a thin Brimstone beam. Must charge like Brimstone before shooting.	https://bindingofisaacrebirth.gamepedia.com/Lil_Brimstone	../assets/images/items/275.png
Isaac's Heart	I	276	Protect It	Isaac himself is now immune to all damage, and a heart familiar appears and follows Isaac. If the heart is hurt, Isaac is hurt.	https://bindingofisaacrebirth.gamepedia.com/Isaac%27s_Heart	../assets/images/items/276.png
Lil Haunt	I	277	Fear him	A familiar that damages enemies by chasing them as well as inducing the fear effect.	https://bindingofisaacrebirth.gamepedia.com/Lil_Haunt	../assets/images/items/277.png
Dark Bum	I	278	He wants to take your life	Spawns a familiar that follows Isaac around and collects red hearts. For every one-and-a-half red hearts collected, Dark Bum will generate one soul heart, one hostile Spider or one friendly blue spider.	https://bindingofisaacrebirth.gamepedia.com/Dark_Bum	../assets/images/items/278.png
Big Fan	I	279	Fat protector	Spawns a large orbital familiar that blocks enemy projectiles and deals slight contact damage to enemies.	https://bindingofisaacrebirth.gamepedia.com/Big_Fan	../assets/images/items/279.png
Sissy Longlegs	I	280	She loves you	Wanders about the room, occasionally spawning blue spiders.	https://bindingofisaacrebirth.gamepedia.com/Sissy_Longlegs	../assets/images/items/280.png
Punching Bag	I	281	Scape Goat	Spawns a Mulligan Familiar that will wander the room randomly. Enemies will attack the Mulligan if it's closer.	https://bindingofisaacrebirth.gamepedia.com/Punching_Bag	../assets/images/items/281.png
How to Jump	I	282	It's about time you learned how	Gives Isaac the ability to jump (over gaps, spikes, etc.).	https://bindingofisaacrebirth.gamepedia.com/How_to_Jump	../assets/images/items/282.png
D100	I	283	REEROLLLLL!	Upon use, rerolls all passive items on Isaac like the D4, every pedestal item in the room like The D6, and every pickup like the D20.	https://bindingofisaacrebirth.gamepedia.com/D100	../assets/images/items/283.png
D4	I	284	Reroll into something else	Rerolls all of Isaac's items.	https://bindingofisaacrebirth.gamepedia.com/D4	../assets/images/items/284.png
D10	I	285	Rerolls enemies	Rerolls the enemies in a room. Only rerolls enemies that are still alive (does not spawn new enemies).	https://bindingofisaacrebirth.gamepedia.com/D10	../assets/images/items/285.png
Blank Card	I	286	Card Mimic	Has the same effect as the card or rune currently held by Isaac.	https://bindingofisaacrebirth.gamepedia.com/Blank_Card	../assets/images/items/286.png
Book of Secrets	I	287	??????	Upon use, gives the effect of Treasure Map, The Compass, or Blue Map for the duration of the current floor.	https://bindingofisaacrebirth.gamepedia.com/Book_of_Secrets	../assets/images/items/287.png
Box of Spiders	I	288	It's a box of spiders	Summons 2-4 blue spiders.	https://bindingofisaacrebirth.gamepedia.com/Box_of_Spiders	../assets/images/items/288.png
Red Candle	I	289	Flame on	Throws a persistent flame that deals high damage and diminishes as it damages enemies or blocks shots.	https://bindingofisaacrebirth.gamepedia.com/Red_Candle	../assets/images/items/289.png
The Jar	I	290	Save your life	When at full health, up to 4 extra hearts can be stored in the jar.	https://bindingofisaacrebirth.gamepedia.com/The_Jar	../assets/images/items/290.png
Flush!	I	291	...	Changes all enemies in the room into poop. Does not work on all enemies (Knights and bosses are immune). Instantly kills Dingle, Dangle, and Brownie.	https://bindingofisaacrebirth.gamepedia.com/Flush!	../assets/images/items/291.png
Satanic Bible	I	292	Reusable Evil	Upon activation, Isaac gains a black heart.	https://bindingofisaacrebirth.gamepedia.com/Satanic_Bible	../assets/images/items/292.png
Head of Krampus	I	293	Krampus Rage	Fires a cross-patterned brimstone shot, just like The Fallen and Krampus shoot.	https://bindingofisaacrebirth.gamepedia.com/Head_of_Krampus	../assets/images/items/293.png
Butter Bean	I	294	Reusable knock-back	Isaac farts and pushes back nearby enemies.	https://bindingofisaacrebirth.gamepedia.com/Butter_Bean	../assets/images/items/294.png
Magic Fingers	I	295	Pay to play	For 1 coin, damages all enemies in the room.	https://bindingofisaacrebirth.gamepedia.com/Magic_Fingers	../assets/images/items/295.png
Converter	I	296	Convert your soul	When used, converts two soul hearts into a heart container.	https://bindingofisaacrebirth.gamepedia.com/Converter	../assets/images/items/296.png
Pandora's Box	I	297	??	Upon use, spawns certain pickups or items depending on the floor it is used on. Single-use.	https://bindingofisaacrebirth.gamepedia.com/Pandora%27s_Box	../assets/images/items/297.png
Unicorn Stump	I	298	You feel stumped	Upon use, grants invulnerability and increased speed for five seconds, but removes the ability to shoot tears.	https://bindingofisaacrebirth.gamepedia.com/Unicorn_Stump	../assets/images/items/298.png
Taurus	I	299	Speed down + rage is building	Speed down gains speed while in a room with enemies until gaining My Little Unicorn effect for a few seconds.	https://bindingofisaacrebirth.gamepedia.com/Taurus	../assets/images/items/299.png
Aries	I	300	Ramming speed	+0.25 Speed. Running into enemies while at a high speed will deal 18 points of damage. Does not prevent contact damage.	https://bindingofisaacrebirth.gamepedia.com/Aries	../assets/images/items/300.png
Cancer	I	301	HP up + you feel protected	Adds 3 soul hearts. Grants The Wafer effect for the current room upon taking damage.	https://bindingofisaacrebirth.gamepedia.com/Cancer	../assets/images/items/301.png
Leo	I	302	Stompy	Allows you to crush rocks when you walk over them.	https://bindingofisaacrebirth.gamepedia.com/Leo	../assets/images/items/302.png
